,Name,Description,Categories,Lokasi
11,De Tjangkul,"Destinasi wisata keluarga di Kota Batu yang memadukan konsep pertanian dan taman foto bertema Belanda. Dibuka sejak 2018, tempat ini menawarkan berbagai spot foto unik seperti rumah terbalik, kincir angin, dan balon udara, serta wahana seperti sepeda udara dan ayunan ekstrem. Pengunjung juga dapat menikmati aktivitas edukatif seperti petik buah dan bercocok tanam, dengan latar belakang Gunung Arjuna yang memukau. Suasana alami dan konsep yang kreatif menjadikan De Tjangkul tempat yang tepat untuk bersantai sekaligus mengasah kreativitas lewat foto dan eksplorasi alam. Beragam fasilitas pendukung seperti kafe dan area bermain anak turut melengkapi kenyamanan pengunjung.",Alam,Kota Batu
12,Songgoriti Hot Spring,"destinasi wisata pemandian air panas alami yang terletak di Songgokerto, Kota Batu, Jawa Timur. Air panas yang digunakan berasal dari sumber bawah Candi Songgoriti dan mengandung belerang, dipercaya memiliki manfaat terapeutik untuk kulit dan kesehatan tubuh. Pengunjung dapat menikmati fasilitas jacuzzi, kolam berendam",Pemandian,Kota Batu
13,Batu Ekonomis Park (BEP),"Taman hiburan bertema reptil yang menggabungkan edukasi dan keseruan dalam satu tempat. Pengunjung dapat menikmati berbagai koleksi reptil lengkap dengan pameran edukatif dan pertunjukan menarik yang mengedukasi tentang satwa reptil. Selain itu, BEP juga menawarkan wahana permainan seru seperti kincir ria dan kolam renang dengan seluncuran air yang menyenangkan untuk keluarga dan anak-anak. Dengan suasana yang asri dan fasilitas lengkap, Batu Ekonomis Park menjadi destinasi favorit untuk belajar sambil bermain dan berpetualang di Kota Batu.",Edukatif,Kota Batu
14,Omah Kayu,"Penginapan unik berupa rumah kayu yang dibangun di atas pohon dengan pemandangan pegunungan yang indah dan suasana hutan yang tenang. Terletak di kawasan wisata Selecta, Omah Kayu menawarkan pengalaman menginap yang berbeda, dekat dengan alam dan jauh dari hiruk-pikuk kota. Tempat ini sangat populer untuk berfoto dengan latar belakang panorama alam yang memukau, terutama saat matahari terbit atau terbenam. Cocok bagi pengunjung yang mencari ketenangan, romantisme, atau petualangan glamping di tengah hutan dengan kenyamanan sederhana namun menawan.",Alam,Kota Batu
15,Eco Active Park,"empat wisata yang terkenal dengan ikon rumah terbalik yang unik dan menjadi spot foto favorit pengunjung. Selain menikmati keunikan arsitektur tersebut, pengunjung juga dapat menjelajahi berbagai wahana edukatif dan area bermain yang ramah keluarga. Tersedia pula kafe dan toko suvenir yang menawarkan berbagai makanan ringan dan oleh-oleh khas. Eco Active Park menggabungkan hiburan dan edukasi dalam suasana yang asri dan menyenangkan, cocok untuk rekreasi bersama keluarga maupun teman.",Taman Hiburan,Kota Batu
16,Coban Rais,"air terjun yang terletak di lereng Gunung Panderman, Kota Batu, Jawa Timur. Dengan ketinggian sekitar 75 meter, air terjun ini menawarkan pemandangan alam yang memukau dan udara pegunungan yang sejuk. ",Air Terjun,Kota Batu
17,Agrowisata Belimbing Karangsari,"Perkebunan luas yang menampilkan pohon belimbing segar yang dapat dipetik langsung oleh pengunjung dan dinikmati di tempat. Terletak di kawasan Karangsari, tempat ini menawarkan pengalaman wisata edukatif sekaligus rekreasi yang menyenangkan untuk keluarga. Selain memetik buah, pengunjung dapat belajar tentang proses budidaya belimbing dan berbagai manfaatnya. Suasana perkebunan yang asri dan udara segar membuat Agrowisata Belimbing Karangsari menjadi destinasi ideal untuk melepas penat sambil berinteraksi dengan alam.",Edukatif,Blitar
18,Makam Bung Karno,"Kompleks makam yang dilengkapi dengan museum dan patung-patung yang menghormati Sukarno, presiden pertama Indonesia yang menjabat dari tahun 1945 hingga 1967. Terletak di Kota Blitar, tempat ini menjadi situs bersejarah sekaligus destinasi ziarah bagi masyarakat yang ingin mengenang jasa dan perjuangan Bung Karno dalam kemerdekaan Indonesia. Museum di area makam menyajikan koleksi foto, dokumen, dan benda-benda pribadi yang menceritakan perjalanan hidup dan kepemimpinan beliau. Selain sebagai tempat penghormatan, lokasi ini juga menawarkan suasana teduh dan terawat, cocok untuk refleksi dan belajar sejarah bangsa.",Museum,Blitar
19,Istana Gebang Blitar,"Rumah masa kecil Sukarno, presiden pertama Indonesia, yang kini berfungsi sebagai museum yang didedikasikan untuk mengenang kehidupan dan perjuangannya. Terletak di Blitar, bangunan bersejarah ini menyimpan berbagai koleksi pribadi, foto, dan dokumen yang menggambarkan masa kecil serta perjalanan karier Bung Karno. Museum ini tidak hanya menjadi tempat edukasi sejarah, tetapi juga simbol kebanggaan nasional yang menarik banyak pengunjung, baik dari dalam maupun luar negeri. Dengan suasana yang terjaga dan arsitektur khas zaman dahulu, Istana Gebang menawarkan pengalaman belajar yang mendalam tentang sosok pahlawan bangsa.",Museum,Blitar
20,Taman Pecut Kota Blitar,"Taman kota yang populer di pusat Kota Blitar, dikenal dengan air mancur menari yang memukau serta jalur paving yang rapi untuk berjalan santai. Dilengkapi dengan bangku-bangku teduh di bawah pepohonan rindang, taman ini menjadi tempat favorit warga dan wisatawan untuk bersantai, berolahraga ringan, atau berkumpul bersama keluarga. Suasana yang asri dan terawat membuat Taman Pecut cocok sebagai ruang terbuka hijau sekaligus ikon kota yang hidup dengan berbagai kegiatan seni dan komunitas.",Taman Hiburan,Blitar
21,Tumpak Sewu Waterfall,"Air terjun bertingkat yang besar dan terkenal, terletak di sebuah ngarai hijau yang rimbun dan dapat diakses melalui jalur pendakian. Dijuluki ""Niagara-nya Indonesia"", air terjun ini memiliki aliran air yang lebar dan dramatis dengan ketinggian yang mengagumkan. Panorama tebing-tebing hijau yang menjulang tinggi di sekelilingnya menambah keindahan dan kesan magis tempat ini. Pengunjung dapat menikmati sensasi menyusuri jalur trekking yang menantang sambil menikmati udara segar dan suara gemuruh air terjun yang menenangkan. Tumpak Sewu menjadi destinasi favorit bagi pecinta alam, fotografer, dan petualang yang mencari pengalaman alam yang spektakuler di Jawa Timur.",Air Terjun,Lumajang
22,Bromo Tengger Semeru National Park,"Gunung Bromo adalah ikon wisata Jawa Timur yang terkenal dengan keindahan matahari terbit dan lautan pasirnya yang luas dan eksotis. Wisatawan dapat menikmati panorama spektakuler dari puncak Penanjakan, di mana pemandangan gunung-gunung di sekitarnya serta kabut pagi yang dramatis menciptakan suasana magis. Selain Bromo, taman nasional ini juga mencakup Gunung Semeru, puncak tertinggi di Pulau Jawa yang populer bagi para pendaki. Kawasan ini menawarkan berbagai aktivitas seperti trekking, jeep adventure, dan melihat upacara budaya masyarakat Tengger. Keindahan alam yang memukau dan kekayaan budaya menjadikan taman nasional ini destinasi wajib bagi pecinta alam dan petualangan.",Alam,Lumajang
23,Coban Rondo,"Air terjun alami yang mudah diakses dengan pemandangan tropis yang asri dan menenangkan. Terletak di kawasan Pujon, air terjun ini dilengkapi dengan area duduk dan bangku yang nyaman, cocok untuk piknik bersama keluarga atau teman. Selain menikmati keindahan alam, pengunjung juga dapat menyewa sepeda untuk menjelajahi jalur sekitar yang rindang dan segar. Suasana yang sejuk dan fasilitas lengkap menjadikan Coban Rondo sebagai destinasi favorit untuk rekreasi alam yang santai dan menyegarkan di Jawa Timur.",Air Terjun,Kabupaten Malang
24,Coban Pelangi,"Air terjun besar yang dapat dicapai dengan jalur hiking melalui hutan yang rindang dan suasana yang tenang. Terletak di kawasan pegunungan, Coban Pelangi terkenal dengan keindahan air terjunnya yang memancarkan warna-warni pelangi saat terkena sinar matahari. Lokasi ini menjadi favorit para pendaki dan pecinta alam yang ingin menikmati keindahan alam sekaligus tantangan trekking yang menyenangkan. Udara segar dan panorama hijau sekitar menambah kenyamanan saat berkunjung ke tempat ini, menjadikannya salah satu destinasi wisata alam yang wajib dikunjungi di Jawa Timur.",Air Terjun,Gubukklakah
25,Jatim Park 3,"Taman hiburan edukatif di Kota Batu yang mengusung tema dinosaurus dan budaya dunia. Dino Park menghadirkan replika dinosaurus animatronik, wahana kereta ""5 Zaman"", dan pertunjukan interaktif seperti ""Dino Attack"" serta ""How to Train Your Dino"" . The Legend Stars menampilkan patung lilin tokoh dunia dan replika landmark internasional, sementara Museum Musik Dunia menyajikan koleksi alat musik dari berbagai negara . Milenial Glow Garden memukau dengan pertunjukan cahaya interaktif di area indoor dan outdoor . Fasilitas lengkap seperti e-bike station, baby care, toilet difabel, dan food court tersedia untuk kenyamanan pengunjung . Dengan kombinasi edukasi dan hiburan, Jatim Park 3 menjadi destinasi wisata keluarga yang menarik di Jawa Timur.",Taman Hiburan,Cemoro Lawang
26,De Djawatan Forest," destinasi wisata alam yang terletak di Desa Benculuk, Kecamatan Cluring, Kabupaten Banyuwangi, Jawa Timur. Hutan ini dikenal dengan pohon trembesi raksasa yang berusia ratusan tahun dan memiliki suasana yang magis, mirip dengan Hutan Fangorn dalam film ""The Lord of the Rings"". Pengunjung dapat menikmati keindahan alam dengan berjalan kaki, naik dokar, atau menyewa ATV, serta menikmati kuliner khas Banyuwangi di area sekitar hutan.",Alam,Sraten
27,Goa Tetes,"Goa alami yang unik dengan air terjun bertingkat yang mengalir di dalamnya, terletak di lokasi terpencil dan dapat dicapai melalui jalur trekking menyusuri hutan tropis yang asri. Perpaduan antara keindahan gua dan gemericik air terjun menciptakan suasana magis dan menenangkan bagi para pengunjung. Jalur hiking yang menantang sekaligus indah ini menawarkan pengalaman petualangan dan eksplorasi alam yang seru. Goa Tetes menjadi destinasi favorit bagi pecinta alam, fotografer, dan wisatawan yang ingin merasakan kedamaian jauh dari keramaian.",Alam,Lumajang
28,Sukorambi Botanical Garden,"destinasi wisata edukatif yang terletak di Sukorambi, Jember, Jawa Timur. Dengan luas sekitar 12 hektare, taman ini menyajikan koleksi lebih dari 500 jenis tumbuhan, termasuk tanaman obat, hias, dan langka, serta berbagai fauna seperti kelinci, rusa, dan burung merak. Fasilitas yang tersedia meliputi kolam renang, flying fox, rumah pohon, dan pondok baca, menjadikannya tempat ideal untuk rekreasi keluarga dan kegiatan pembelajaran luar ruang.",Edukatif,Jember
29,Kelenteng Tjoe Hwie Kiong,"Kelenteng Tjoe Hwie Kiong di Kediri, Jawa Timur, adalah tempat ibadah Tri Dharma (Taoisme, Konfusianisme, dan Buddhisme) yang berdiri sejak tahun 1817. Sebagai salah satu cagar budaya, kelenteng ini menampilkan arsitektur khas Tionghoa dengan ornamen naga, burung phoenix, dan patung Dewi Mak Co, serta sering menjadi lokasi pertunjukan budaya seperti Wayang Potehi",Religi,Kota Kediri
30,Goa Selomangleng,"situs bersejarah yang diyakini sebagai tempat pertapaan Dewi Kilisuci, putri Raja Airlangga dari Kerajaan Kahuripan. Gua buatan ini menampilkan relief dan arca yang menggambarkan kisah spiritual masa lalu, serta terletak di kawasan wisata yang juga mencakup Museum",Alam,Kota Kediri
31,Sekartaji Park,"Taman kota yang kompak dengan vegetasi tropis yang rimbun, menghadirkan suasana sejuk dan asri di tengah keramaian kota. Taman ini dilengkapi dengan kolam bunga teratai yang dihuni ikan koi, menambah keindahan dan ketenangan area rekreasi ini. Di sekitar taman, pengunjung dapat menemukan berbagai penjual makanan jalanan yang menawarkan aneka kuliner khas, sehingga taman ini juga menjadi tempat yang cocok untuk bersantai sambil menikmati camilan lezat. Sekartaji Park populer sebagai ruang hijau untuk berjalan-jalan, berkumpul, dan melepas penat bagi warga sekitar maupun wisatawan.",Taman Hiburan,Kota Kediri
32,Simpang Lima Gumul Kediri,"landmark modern yang menyerupai Arc de Triomphe di Paris. Dibangun pada tahun 2003 dan diresmikan pada 2008, monumen setinggi 25 meter ini terletak di pusat pertemuan lima jalan utama, melambangkan penyatuan wilayah Kediri dan menjadi pusat kegiatan ekonomi serta budaya. Dengan relief sejarah, patung Ganesha, taman hijau, dan fasilitas publik seperti Gumul Paradise Island, SLG menjadi destinasi favorit untuk rekreasi, fotografi, dan acara komunitas.",Budaya,Ngasem
33,Kampung Tridi,"destinasi wisata tematik yang memukau dengan seni mural 3D yang menghiasi dinding-dinding rumah warga. Transformasi kampung ini dimulai pada tahun 2016 sebagai bagian dari proyek revitalisasi kawasan kumuh oleh mahasiswa Universitas Muhammadiyah Malang, yang bekerja sama dengan perusahaan cat lokal dan komunitas setempat. Kini, Kampung Tridi menjadi daya tarik wisata yang menawarkan pengalaman visual unik, dengan berbagai instalasi seni seperti payung warna-warni yang tergantung di atas jalanan, serta mural-mural yang menciptakan ilusi optik tiga dimensi. ",Budaya,Kota Malang
34,Polowijen Cultural Village,"Situs warisan budaya yang menyajikan pameran interaktif tentang kerajinan tradisional seperti tembikar dan seni rupa, serta berbagai pertunjukan budaya yang memukau. Desa budaya ini memberikan pengalaman langsung bagi pengunjung untuk belajar dan mencoba berbagai aktivitas kreatif khas masyarakat setempat. Selain sebagai pusat pelestarian seni dan budaya, Polowijen Cultural Village juga menjadi tempat edukasi yang menarik bagi wisatawan dan pelajar yang ingin mengenal lebih dalam tradisi dan kearifan lokal. Suasana yang autentik dan ramah menjadikan desa ini destinasi budaya yang wajib dikunjungi di Jawa Timur.",Budaya,Kota Malang
35,Malang Monument Square,"Taman kota yang kompak dan tertata rapi dengan area rerumputan hijau yang asri serta kolam bunga teratai yang mengelilingi sebuah patung bersejarah. Terletak di pusat Kota Malang, taman ini menjadi ruang terbuka hijau yang nyaman untuk bersantai, berjalan-jalan, atau sekadar menikmati suasana kota. Dengan desain yang estetik dan suasana yang tenang, Malang Monument Square sering dijadikan tempat berkumpul warga maupun wisatawan untuk melepas penat di tengah kesibukan kota. Selain sebagai ikon kota, taman ini juga kerap menjadi lokasi acara komunitas dan kegiatan seni.",Taman Hiburan,Kota Malang
36,Kampoeng Heritage Kajoetangan,"kampung ini mempertahankan keaslian arsitektur kolonial Belanda, seperti Rumah Namsin dan Pasar Talun, serta menawarkan pengalaman budaya melalui museum mini, galeri seni, dan pertunjukan musik tradisional. Dengan lokasi strategis di pusat kota dan akses mudah dari berbagai jalan utama, Kampoeng Heritage Kajoetangan menjadi destinasi yang memadukan nilai sejarah, budaya, dan ekonomi kreatif",Budaya,Kota Malang
37,Surabaya Zoo,"Kebun binatang yang didirikan sejak tahun 1918 ini merupakan salah satu kebun binatang tertua dan terbesar di Indonesia. Menyajikan koleksi satwa yang beragam, termasuk singa, beruang, dan komodo—hewan khas Indonesia yang langka. Selain menjadi tempat konservasi dan edukasi satwa, Surabaya Zoo juga menyediakan fasilitas untuk pengunjung dari berbagai usia, seperti area bermain anak dan pusat informasi. Dengan luas wilayah yang cukup besar, kebun binatang ini menjadi destinasi favorit bagi keluarga dan pecinta fauna yang ingin mengenal lebih dekat berbagai jenis hewan dalam suasana yang alami dan terawat.",Kebun Binatang,Surabaya
38,Monumen Tugu Pahlawan dan Museum Sepuluh Nopember Surabaya,"Monumen peringatan ikonik yang menjadi simbol perjuangan rakyat Surabaya dalam mempertahankan kemerdekaan Indonesia. Di kompleks ini terdapat museum dua lantai yang menampilkan berbagai koleksi dan pameran tentang Pertempuran Surabaya tahun 1945, termasuk foto, dokumen, senjata, dan artefak sejarah lainnya. Monumen ini menjadi tempat ziarah sekaligus edukasi sejarah yang penting, menarik pengunjung dari berbagai kalangan untuk mengenang jasa para pahlawan. Dengan arsitektur megah dan suasana sakral, tempat ini menjadi salah satu landmark bersejarah yang wajib dikunjungi di Kota Surabaya.",Museum,Surabaya
39,Bamboo Forest Keputih Surabaya,"Taman yang dirancang dengan lanskap asri, menghadirkan jalur setapak tanpa paving yang menembus lorong-lorong alami dari deretan pohon bambu tinggi dan rimbun. Suasana sejuk dan teduh di bawah kanopi bambu menciptakan pengalaman berjalan yang menenangkan dan berbeda di tengah kota. Bamboo Forest ini menjadi tempat favorit warga Surabaya untuk berolahraga ringan, bersantai, atau berfoto dengan latar belakang alam yang unik. Keindahan dan ketenangan taman ini menjadikannya oase hijau yang menarik di kawasan Keputih, cocok untuk melepas penat dari aktivitas sehari-hari.",Alam,Surabaya
40,Sunan Ampel Religious Tourism Area,"Kawasan ziarah yang mengelilingi Masjid Ampel dan kompleks makam yang bersejarah, dibangun sejak berabad-abad lalu dan menjadi salah satu situs religi penting di Surabaya. Tempat ini ramai dikunjungi oleh peziarah dan wisatawan yang ingin mengenang jasa Sunan Ampel sebagai salah satu Wali Songo penyebar Islam di Jawa. Selain nilai spiritual, area ini juga dipenuhi dengan pedagang makanan khas dan toko suvenir yang menawarkan berbagai oleh-oleh tradisional. Suasana yang penuh khidmat berpadu dengan keramaian pasar membuat Sunan Ampel menjadi destinasi religi sekaligus budaya yang menarik untuk dikunjungi.",Religi,Surabaya
41,Kampoeng Lawas Maspati,"Desa tua yang dipenuhi dengan tanaman hijau serta dihiasi mural warna-warni yang cerah, menampilkan perpaduan arsitektur eklektik yang unik dan menarik. Kawasan ini menjadi destinasi populer bagi wisatawan yang ingin menikmati suasana tradisional yang hidup dan penuh seni. Pengunjung dapat berjalan-jalan menyusuri gang-gang sempit sambil menikmati karya seni jalanan dan suasana desa yang autentik. Kampoeng Lawas Maspati juga sering dijadikan tempat untuk berbagai acara budaya dan kreatif, menjadikannya pusat komunitas yang dinamis dan kaya akan warisan lokal.",Budaya,Surabaya
42,Kota Tua Surabaya,"Kawasan bersejarah yang menghadirkan kemegahan arsitektur bangunan peninggalan zaman kolonial Belanda dengan gaya klasik yang masih terjaga keasliannya. Selain nilai sejarah yang kaya, Kota Tua Surabaya menawarkan suasana budaya yang unik melalui berbagai museum, galeri seni, dan kafe dengan konsep vintage. Area ini menjadi destinasi favorit bagi wisatawan dan fotografer yang ingin menikmati pesona masa lalu sekaligus menggali cerita sejarah kota terbesar kedua di Indonesia. Berjalan-jalan di Kota Tua Surabaya serasa menapaki lorong waktu yang membawa pengunjung ke era kolonial dengan sentuhan modern yang hidup.",Museum,Surabaya
43,Taman Trembesi Kota Madiun,"Taman kota yang rindang dengan pepohonan trembesi yang besar dan teduh, menciptakan suasana santai dan sejuk di tengah kota Madiun. Taman ini dilengkapi dengan jalur pejalan kaki yang nyaman, area bermain anak yang aman dan menyenangkan, serta banyak tempat duduk untuk bersantai atau berkumpul bersama keluarga. Dengan lingkungan yang hijau dan asri, Taman Trembesi menjadi pilihan favorit warga dan wisatawan untuk beristirahat, berolahraga ringan, atau menikmati waktu luang di ruang terbuka hijau yang nyaman.",Taman Hiburan,Kota Madiun
44,Namira Mosque,"Arsitekturnya mengadopsi gaya Timur Tengah, dengan interior mewah yang menyerupai Masjidil Haram, termasuk adanya kiswah asli dari Ka'bah yang dipasang di mihrab imam. Selain sebagai tempat ibadah, Masjid Namira juga menjadi pusat kegiatan keagamaan dan sosial, serta menarik banyak wisatawan karena keindahan dan fasilitasnya yang lengkap .",Religi,Sidoharjo
45,Pantai Balekambang,"Pantai Balekambang menawarkan keindahan alam yang memukau dengan hamparan pasir putih yang luas dan air laut yang jernih. Salah satu daya tarik utamanya adalah keberadaan tiga pulau kecil di lepas pantai, yaitu Pulau Ismoyo, Pulau Anoman, dan Pulau Wisanggeni. Pulau Ismoyo terkenal dengan Pura Luhur Amertha Jati yang berdiri megah di atasnya, dihubungkan oleh jembatan setapak dari pantai, menciptakan suasana yang mirip dengan Tanah Lot di Bali. Pantai ini juga menawarkan berbagai aktivitas menarik seperti berenang, bermain pasir, dan berkemah di area yang telah disediakan. Bagi pengunjung yang mencari sensasi berbeda, tersedia wahana flying fox yang melintasi pantai, memberikan pengalaman seru dengan pemandangan laut dari ketinggian.",Pantai,Kabupaten Malang
46,The Grand Taman Safari Prigen,"Terletak di lereng Gunung Arjuna, Pasuruan, taman safari ini merupakan salah satu kebun binatang terbesar di Asia Tenggara dengan lebih dari 2.400 satwa dari 225 spesies. Pengunjung dapat menikmati pengalaman safari unik melalui tiga zona dunia: Asia, Afrika, dan Eropa-Amerika, baik menggunakan kendaraan pribadi maupun bus safari yang disediakan. Beragam wahana menarik tersedia, seperti Safari Adventure untuk melihat satwa liar dari dekat, Baby Zoo yang memungkinkan interaksi langsung dengan hewan-hewan lucu, dan Safari Water World yang menawarkan kolam renang dengan tema tujuh keajaiban dunia. Zona Australiana menghadirkan satwa khas Australia seperti kanguru dan koala.  Untuk pengalaman edukatif, Interactive Living Museum menampilkan pertunjukan sirkus dan pameran budaya. Pengunjung juga dapat menikmati Enchanting Forest, area hutan alami dengan fasilitas seperti playground, Zen Café, dan Pinewood Bistro, cocok untuk bersantai bersama keluarga.",Kebun Binatang,Jatiarjo
47,Ranu Kumbolo,"danau alami yang terletak di kawasan Taman Nasional Bromo Tengger Semeru, Jawa Timur. Terletak pada ketinggian sekitar 2.400 meter di atas permukaan laut, danau ini menjadi tempat peristirahatan populer bagi pendaki. Keindahan alamnya yang asri, udara yang sejuk, serta pemandangan matahari terbit yang menakjubkan menjadikan Ranu Kumbolo sebagai destinasi favorit para pecinta alam.",Alam,Lumajang
